#GAME,PLAYER_1_STATUS,PLAYER_2_STATUS,#MOVES,DURATION(seconds),PL_1_WINS/GAMES,PL_1_LOSSES/GAMES,PL_2_WINS/GAMES,PL_2_LOSSES/GAMES,DRAWS/GAMES
129,DRAW,DRAW,228,23,0.09,0.13,0.13,0.09,0.78
130,DRAW,DRAW,244,25,0.08,0.13,0.13,0.08,0.78
131,DRAW,DRAW,270,28,0.08,0.13,0.13,0.08,0.79
132,DRAW,DRAW,234,24,0.08,0.13,0.13,0.08,0.79
133,DRAW,DRAW,244,25,0.08,0.13,0.13,0.08,0.79
134,DRAW,DRAW,208,21,0.08,0.13,0.13,0.08,0.79
135,DRAW,DRAW,224,23,0.08,0.13,0.13,0.08,0.79
136,DRAW,DRAW,302,31,0.08,0.12,0.12,0.08,0.79
137,DRAW,DRAW,242,25,0.08,0.12,0.12,0.08,0.80
138,DRAW,DRAW,245,25,0.08,0.12,0.12,0.08,0.80
139,DRAW,DRAW,208,21,0.08,0.12,0.12,0.08,0.80
140,DRAW,DRAW,264,27,0.08,0.12,0.12,0.08,0.80
141,DRAW,DRAW,224,23,0.08,0.12,0.12,0.08,0.80
142,DRAW,DRAW,211,21,0.08,0.12,0.12,0.08,0.80
143,DRAW,DRAW,218,22,0.08,0.12,0.12,0.08,0.80
144,WIN,LOSS,155,15,0.08,0.12,0.12,0.08,0.80
145,DRAW,DRAW,207,21,0.08,0.12,0.12,0.08,0.80
146,DRAW,DRAW,236,24,0.08,0.12,0.12,0.08,0.80
147,DRAW,DRAW,245,25,0.08,0.12,0.12,0.08,0.80
148,DRAW,DRAW,254,26,0.08,0.11,0.11,0.08,0.80
149,DRAW,DRAW,306,31,0.08,0.11,0.11,0.08,0.81
150,DRAW,DRAW,283,29,0.08,0.11,0.11,0.08,0.81
